token,경주빈도,전주빈도,빈도합,경주비율,전주비율
안성맞춤,0,5,5,0.0,100.0
아트,0,5,5,0.0,100.0
입소문,0,5,5,0.0,100.0
아중역,0,5,5,0.0,100.0
공부,5,0,5,100.0,0.0
야성,0,5,5,0.0,100.0
지혜,0,5,5,0.0,100.0
지명,0,5,5,0.0,100.0
수준,0,5,5,0.0,100.0
지란지교,0,5,5,0.0,100.0
지독,0,5,5,0.0,100.0
수정관,0,5,5,0.0,100.0
수제,0,5,5,0.0,100.0
지구촌,0,5,5,0.0,100.0
중식,0,5,5,0.0,100.0
지정,0,5,5,0.0,100.0
주편,0,5,5,0.0,100.0
지구,0,5,5,0.0,100.0
수지,0,5,5,0.0,100.0
지관,0,5,5,0.0,100.0
중화요리,0,5,5,0.0,100.0
숙박업,0,5,5,0.0,100.0
재현,0,5,5,0.0,100.0
진연,0,5,5,0.0,100.0
경상도,5,0,5,100.0,0.0
고조,5,0,5,100.0,0.0
육전,0,5,5,0.0,100.0
오래전,0,5,5,0.0,100.0
월당,0,5,5,0.0,100.0
위로,0,5,5,0.0,100.0
오감,0,5,5,0.0,100.0
로컬,0,5,5,0.0,100.0
예찬,0,5,5,0.0,100.0
은퇴,0,5,5,0.0,100.0
자투리,0,5,5,0.0,100.0
영원,0,5,5,0.0,100.0
연회,0,5,5,0.0,100.0
음악,0,5,5,0.0,100.0
연차,0,5,5,0.0,100.0
이곳저곳,0,5,5,0.0,100.0
연지,0,5,5,0.0,100.0
가요,4,0,4,100.0,0.0
일종,4,0,4,100.0,0.0
코스모스,4,0,4,100.0,0.0
태극기,0,4,4,0.0,100.0
얼음,4,0,4,100.0,0.0
허기,0,4,4,0.0,100.0
또순이,0,4,4,0.0,100.0
기라,4,0,4,100.0,0.0
호기심,4,0,4,100.0,0.0
돌고래,4,0,4,100.0,0.0
창고,4,0,4,100.0,0.0
관점,4,0,4,100.0,0.0
관측,4,0,4,100.0,0.0
안압,4,0,4,100.0,0.0
고민,0,4,4,0.0,100.0
황화,4,0,4,100.0,0.0
영조,4,0,4,100.0,0.0
스토어,3,0,3,100.0,0.0
구매,3,0,3,100.0,0.0
수질,0,3,3,0.0,100.0
레스토랑,0,3,3,0.0,100.0
성황,0,3,3,0.0,100.0
후식,0,3,3,0.0,100.0
돌핀,3,0,3,100.0,0.0
메뉴,0,3,3,0.0,100.0
정동,0,3,3,0.0,100.0
닥나무,0,3,3,0.0,100.0
농가,0,3,3,0.0,100.0
지방,0,3,3,0.0,100.0
수변,0,3,3,0.0,100.0
근교,0,3,3,0.0,100.0
일원,0,3,3,0.0,100.0
감사,3,0,3,100.0,0.0
인근,0,3,3,0.0,100.0
장소라,3,0,3,100.0,0.0
입지,0,3,3,0.0,100.0
햇빛,2,0,2,100.0,0.0
동영,0,2,2,0.0,100.0
사업,0,2,2,0.0,100.0
주택,0,2,2,0.0,100.0
로앤,0,2,2,0.0,100.0
고풍,0,2,2,0.0,100.0
기온,2,0,2,100.0,0.0
한식당,0,2,2,0.0,100.0
고구마,0,2,2,0.0,100.0
차미,0,2,2,0.0,100.0
지도,0,2,2,0.0,100.0
네이버,0,2,2,0.0,100.0
하우스,0,2,2,0.0,100.0
부산,0,2,2,0.0,100.0
고속버스,0,2,2,0.0,100.0
용강,2,0,2,100.0,0.0
요금표,2,0,2,100.0,0.0
본점,0,2,2,0.0,100.0
구황동,2,0,2,100.0,0.0
관측대,2,0,2,100.0,0.0
게스트,0,2,2,0.0,100.0
라미,0,2,2,0.0,100.0
한식재단,0,2,2,0.0,100.0
메뉴판,0,2,2,0.0,100.0
폭염,2,0,2,100.0,0.0
상태,2,0,2,100.0,0.0
특보,2,0,2,100.0,0.0
수다,0,2,2,0.0,100.0
농림,0,2,2,0.0,100.0
분황,2,0,2,100.0,0.0
기상,2,0,2,100.0,0.0
기지,0,2,2,0.0,100.0
관람료,2,0,2,100.0,0.0
임대,0,2,2,0.0,100.0
한국인,0,2,2,0.0,100.0
수산,0,2,2,0.0,100.0
가터,0,2,2,0.0,100.0
선정,0,2,2,0.0,100.0
감자탕,0,2,2,0.0,100.0
천문,2,0,2,100.0,0.0
혼불,0,2,2,0.0,100.0
인왕동,2,0,2,100.0,0.0
야심,0,1,1,0.0,100.0
공유,1,0,1,100.0,0.0
아파트,0,1,1,0.0,100.0
선무,0,1,1,0.0,100.0
일반인,1,0,1,100.0,0.0
계절,1,0,1,100.0,0.0
귀뚜라미,1,0,1,100.0,0.0
남해,0,1,1,0.0,100.0
꿀타래,0,1,1,0.0,100.0
문필가,0,1,1,0.0,100.0
김영아,0,1,1,0.0,100.0
이웃,1,0,1,100.0,0.0
민박,0,1,1,0.0,100.0
길이,0,1,1,0.0,100.0
예술단,0,1,1,0.0,100.0
봄날,0,1,1,0.0,100.0
뽐뿌,0,1,1,0.0,100.0
사거리,0,1,1,0.0,100.0
충정로,0,1,1,0.0,100.0
안목,1,0,1,100.0,0.0
번지,0,1,1,0.0,100.0
보급,0,1,1,0.0,100.0
진주,0,1,1,0.0,100.0
봉황,1,0,1,100.0,0.0
주민,0,1,1,0.0,100.0
규모,0,1,1,0.0,100.0
사상,0,1,1,0.0,100.0
정성,0,1,1,0.0,100.0
정감,0,1,1,0.0,100.0
생가,0,1,1,0.0,100.0
쓰레기통,0,1,1,0.0,100.0
쿠쿠,0,1,1,0.0,100.0
풍요,1,0,1,100.0,0.0
지난주,1,0,1,100.0,0.0
따로국밥,1,0,1,100.0,0.0
양질,0,1,1,0.0,100.0
휴강,0,1,1,0.0,100.0
한곳,0,1,1,0.0,100.0
평일,0,1,1,0.0,100.0
더위,0,1,1,0.0,100.0
해결,0,1,1,0.0,100.0
리도,0,1,1,0.0,100.0
품바,0,1,1,0.0,100.0
혁신,0,1,1,0.0,100.0
단팥죽,0,1,1,0.0,100.0
대문,0,1,1,0.0,100.0
당일치기,0,1,1,0.0,100.0
헬스,0,1,1,0.0,100.0
지로나,1,0,1,100.0,0.0
팥빙수,0,1,1,0.0,100.0
대절,1,0,1,100.0,0.0
전문가,1,0,1,100.0,0.0
저저,1,0,1,100.0,0.0
우등,0,1,1,0.0,100.0
옷걸이,0,1,1,0.0,100.0
학습,1,0,1,100.0,0.0
시점,0,1,1,0.0,100.0
냉장고,0,1,1,0.0,100.0
외할머니,0,1,1,0.0,100.0
만화,1,0,1,100.0,0.0
온돌방,0,1,1,0.0,100.0
홍게,1,0,1,100.0,0.0
순회,0,1,1,0.0,100.0
매미,1,0,1,100.0,0.0
정답,1,0,1,100.0,0.0
솜씨,0,1,1,0.0,100.0
주공,0,1,1,0.0,100.0
